source_case,similar_case,similarity_score,method,citation_link,source_case_topic
62003CJ0453,62006CO0421,0.7273723559334702,tfidf,1,public health
62003CJ0453,61984CJ0028,0.6648683721282975,tfidf,0,public health
62003CJ0453,61984CJ0195,0.6189330729443988,tfidf,0,public health
62003CJ0453,61990CJ0039,0.5797361556748202,tfidf,0,public health
62003CJ0453,62002CJ0145,0.5667513340809365,tfidf,0,public health
62003CJ0453,61987CJ0029,0.4927639576632845,tfidf,0,public health
62003CJ0453,61985CJ0363,0.4897809180631612,tfidf,0,public health
62003CJ0453,61985CJ0361,0.3818421830757501,tfidf,0,public health
62003CJ0453,62002CJ0286,0.3793265681238238,tfidf,0,public health
62003CJ0453,61982CJ0045,0.3681111519923874,tfidf,0,public health
62003CJ0453,61980CJ0066,0.33439534716210667,tfidf,0,public health
62003CJ0453,61994CJ0094,0.3282099692242294,tfidf,0,public health
62003CJ0453,62009CJ0346,0.3254308077505074,tfidf,0,public health
62003CJ0453,61983CJ0015,0.32004690244401285,tfidf,0,public health
62003CJ0453,61988CJ0346,0.3157308675760334,tfidf,0,public health
62003CJ0453,61988CJ0070(01),0.3091944137506318,tfidf,0,public health
62003CJ0453,61994CJ0065,0.2986509055619273,tfidf,0,public health
62003CJ0453,62001CJ0173,0.28322990800737385,tfidf,0,public health
62003CJ0453,61985CJ0365,0.28202448689322196,tfidf,0,public health
62003CJ0453,61980CJ0003,0.2790984227729556,tfidf,0,public health
61988CJ0070,61987CJ0302,0.6899501610240268,tfidf,1,public health
61988CJ0070,61988CJ0070(01),0.5155321614016746,tfidf,1,public health
61988CJ0070,61993CJ0065,0.4572849218153287,tfidf,0,public health
61988CJ0070,61981CJ0230,0.45364137157683476,tfidf,0,public health
61988CJ0070,61991CJ0316,0.45004108256481506,tfidf,0,public health
61988CJ0070,61991CJ0314,0.44736792837421896,tfidf,0,public health
61988CJ0070,61990CJ0065,0.4472718878222903,tfidf,0,public health
61988CJ0070,61991CJ0181,0.4438360193593661,tfidf,0,public health
61988CJ0070,61988CJ0213,0.42782786040177134,tfidf,0,public health
61988CJ0070,61985CO0078,0.4224085810640161,tfidf,0,public health
61988CJ0070,61993CJ0417,0.42100687683345045,tfidf,0,public health
61988CJ0070,61990CJ0295,0.4180723822900936,tfidf,0,public health
61988CJ0070,61987CJ0377,0.41318018510195326,tfidf,0,public health
61988CJ0070,61993CJ0156,0.3896977192392797,tfidf,0,public health
61988CJ0070,61985CJ0358,0.38181086066111763,tfidf,0,public health
61988CJ0070,61987CJ0383,0.3816926920742738,tfidf,0,public health
61988CJ0070,61985CO0358,0.373942075339909,tfidf,0,public health
61988CJ0070,61984CJ0038,0.37309970893265687,tfidf,0,public health
61988CJ0070,62013CJ0540,0.37292533459140265,tfidf,0,public health
61988CJ0070,61994CJ0021,0.36847828014607537,tfidf,0,public health
61980CJ0272,61996CJ0400,0.5920135461225083,tfidf,1,public health
61980CJ0272,61996CJ0100,0.5439545046971791,tfidf,0,public health
61980CJ0272,61994CJ0293,0.5063060765770323,tfidf,1,public health
61980CJ0272,62006CJ0201,0.505176668396594,tfidf,0,public health
